Date,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount ,Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used
2023/5/28,TH-21235,35,Male,Hoodie,Clothing,26,Shanghai,L,Turquoise,Spring,3.1,Yes,Yes,Yes
2023/6/14,TH-21235,34,Male,Sunglasses,Accessories,76,Jiangsu,S,Blue,Summer,2.6,Yes,Yes,Yes
2023/7/6,RP-19390,49,Male,T-shirt,Clothing,85,Zhejiang,S,Turquoise,Summer,2.9,Yes,Yes,Yes
2023/2/28,MO-17800,43,Male,Jacket,Outerwear,89,Zhejiang,M,Gray,Winter,3.3,Yes,Yes,Yes
2023/6/11,MO-17800,63,Male,Sweater,Clothing,41,Liaoning,XL,Purple,Summer,4.8,Yes,Yes,Yes
2023/5/7,MO-17800,38,Male,Jacket,Outerwear,30,Henan,L,Black,Spring,4.7,Yes,Yes,Yes
2023/9/25,TD-20995,59,Male,Socks,Clothing,53,Shanxi,M,Peach,Fall,3.3,Yes,Yes,Yes
2023/4/29,RB-19570,35,Male,Shirt,Clothing,66,Shanghai,M,Indigo,Spring,4.2,Yes,Yes,Yes
2023/4/27,RB-19570,48,Male,Jewelry,Accessories,33,InnerMongolia,XL,Beige,Spring,4.7,Yes,Yes,Yes
2023/8/1,RB-19570,64,Male,Sunglasses,Accessories,86,InnerMongolia,M,Yellow,Summer,2.6,Yes,Yes,Yes
2023/2/1,CD-11980,28,Male,Pants,Clothing,60,Zhejiang,M,Peach,Winter,2.9,Yes,Yes,Yes
2023/3/18,CD-11980,60,Male,Socks,Clothing,62,Shandong,S,Turquoise,Spring,2.7,Yes,Yes,Yes
2023/6/11,CD-11980,27,Male,Blouse,Clothing,74,Shanghai,M,Teal,Summer,3.3,Yes,Yes,Yes
2023/8/4,CD-11980,56,Male,Sandals,Footwear,95,Hebei,M,Turquoise,Summer,3.4,Yes,Yes,Yes
2023/5/29,DJ-13630,58,Male,Sneakers,Footwear,25,Beijing,M,Magenta,Spring,4.2,Yes,Yes,Yes
2023/2/1,DJ-13630,30,Male,Shirt,Clothing,59,Guangdong,XL,Purple,Winter,3.8,Yes,Yes,Yes
2023/5/8,DJ-13630,23,Male,Jacket,Outerwear,29,Guangdong,M,Brown,Spring,4,Yes,Yes,Yes
2023/10/3,GT-14635,33,Male,Sandals,Footwear,36,Hainan,S,Violet,Fall,2.7,Yes,Yes,Yes
2023/5/24,GT-14635,63,Male,Hat,Accessories,82,Guangdong,M,Yellow,Spring,4.7,Yes,Yes,Yes
2023/11/1,MC-17845,70,Male,Blouse,Clothing,71,Zhejiang,XL,Magenta,Fall,3.5,Yes,Yes,Yes
2023/4/11,MC-17845,70,Male,Sweater,Clothing,35,Henan,L,Beige,Spring,3,Yes,Yes,Yes
2023/2/1,MC-17845,19,Male,Gloves,Accessories,38,Guangdong,XL,Turquoise,Winter,3.3,Yes,Yes,Yes
2023/7/8,RA-19285,25,Male,Scarf,Accessories,59,Fujian,S,Peach,Summer,4.7,Yes,Yes,Yes
2023/7/2,NP-18325,19,Male,Hoodie,Clothing,91,Guangdong,M,Orange,Summer,4.7,Yes,Yes,Yes
2023/6/8,NP-18325,25,Male,Shorts,Clothing,68,Qinghai,XL,Red,Summer,4.8,Yes,Yes,Yes
2023/6/10,NP-18325,60,Male,Backpack,Accessories,21,Anhui,L,Silver,Summer,2.9,Yes,Yes,Yes
2023/7/10,AB-10165,35,Male,Sunglasses,Accessories,95,Guangxi,M,Cyan,Summer,4,Yes,Yes,Yes
2023/6/5,AB-10165,46,Male,Shorts,Clothing,52,Guangdong,L,Turquoise,Summer,3.1,Yes,Yes,Yes
2023/9/20,JO-15550,41,Male,Dress,Clothing,21,Guizhou,S,Charcoal,Fall,3.5,Yes,Yes,Yes
2023/9/1,JO-15550,30,Male,Shorts,Clothing,67,Hubei,XL,Peach,Fall,3.7,Yes,Yes,Yes
2023/5/12,JO-15550,44,Male,Belt,Accessories,42,Hubei,L,Green,Spring,2.8,Yes,Yes,Yes
2023/9/24,JO-15550,61,Male,Scarf,Accessories,63,Fujian,XL,Brown,Fall,4.6,Yes,Yes,Yes
2023/12/6,JO-15550,55,Male,Boots,Footwear,41,Beijing,M,Yellow,Winter,3.8,Yes,Yes,Yes
2023/7/15,JO-15550,50,Male,Handbag,Accessories,46,Sichuan,M,Charcoal,Summer,2.6,Yes,Yes,Yes
2023/8/13,JO-15550,57,Male,Pants,Clothing,79,Tianjin,L,Olive,Summer,4.1,Yes,Yes,Yes
2023/9/23,Dl-13600,51,Male,Boots,Footwear,90,Guangdong,L,Red,Fall,3.3,Yes,Yes,Yes
2023/9/20,AS-10285,18,Male,Shirt,Clothing,71,Tianjin,M,White,Fall,3.4,Yes,Yes,Yes
2023/4/23,JK-15370,63,Male,Dress,Clothing,87,Jiangxi,L,Pink,Spring,3,Yes,Yes,Yes
2023/3/24,BN-11470,34,Male,Hoodie,Clothing,66,Tianjin,S,Black,Spring,3.2,Yes,Yes,Yes
2023/10/4,BN-11470,25,Male,Pants,Clothing,90,Shanxi,XL,Indigo,Fall,4.5,Yes,Yes,Yes
2023/6/4,BN-11470,46,Male,Jeans,Clothing,47,Zhejiang,L,Turquoise,Summer,4.8,Yes,Yes,Yes
2023/1/27,DP-13165,59,Male,Shirt,Clothing,38,Beijing,L,Purple,Winter,3.7,Yes,Yes,Yes
2023/10/5,DP-13165,37,Male,Backpack,Accessories,50,Guangdong,L,Beige,Fall,3.4,Yes,Yes,Yes
2023/7/12,DP-13165,49,Male,Jacket,Outerwear,79,Hunan,L,Charcoal,Summer,4.6,Yes,Yes,Yes
2023/1/30,TH-21550,22,Male,Scarf,Accessories,91,Liaoning,L,Turquoise,Winter,4.1,Yes,Yes,Yes
2023/8/10,AP-10915,64,Male,Boots,Footwear,60,InnerMongolia,M,Maroon,Summer,3.5,Yes,Yes,Yes
2023/10/27,RS-19765,42,Male,Blouse,Clothing,81,Ningxia,XL,Black,Fall,3.8,Yes,Yes,Yes
2023/12/13,RS-19765,37,Male,Hoodie,Clothing,90,Beijing,M,Lavender,Winter,2.6,Yes,Yes,Yes
2023/5/1,RS-19765,26,Male,Jacket,Outerwear,70,Hebei,M,Magenta,Spring,4.4,Yes,Yes,Yes
2023/4/21,Dl-13600,33,Male,Jeans,Clothing,63,Shandong,L,Green,Spring,2.6,Yes,Yes,Yes
2023/4/15,SV-20365,30,Male,Jewelry,Accessories,29,Ningxia,M,Olive,Spring,3.6,Yes,Yes,Yes
2023/4/30,KC-16540,21,Male,Socks,Clothing,90,Sichuan,L,Green,Spring,4.2,Yes,Yes,Yes
2023/1/14,CK-12325,22,Male,Shirt,Clothing,22,Beijing,M,Peach,Winter,4.6,Yes,Yes,Yes
2023/5/16,CK-12325,63,Male,Shorts,Clothing,22,Beijing,L,Turquoise,Spring,3.3,Yes,Yes,Yes
2023/12/7,RD-19810,33,Male,Jewelry,Accessories,62,Fujian,L,Orange,Winter,3.4,Yes,Yes,Yes
2023/7/5,MP-17965,43,Male,Blouse,Clothing,57,Beijing,L,Silver,Summer,4.4,Yes,Yes,Yes
2023/10/16,MP-17965,27,Male,Sweater,Clothing,32,Chongqing,S,Blue,Fall,4.3,Yes,Yes,Yes
2023/2/24,MR-17545,35,Male,Jewelry,Accessories,53,Guangdong,L,Cyan,Winter,3.5,Yes,Yes,Yes
2023/3/22,SC-20695,37,Male,T-shirt,Clothing,79,Henan,XL,Green,Spring,4.7,Yes,Yes,Yes
2023/1/1,JF-15355,61,Male,Hat,Accessories,61,Shaanxi,L,Silver,Winter,3.1,Yes,Yes,Yes
2023/1/26,JF-15355,32,Male,Shorts,Clothing,78,Anhui,L,Yellow,Winter,3.6,Yes,Yes,Yes
2023/4/22,EG-13900,62,Male,Sweater,Clothing,97,Zhejiang,S,Gray,Spring,4.8,Yes,Yes,Yes
2023/3/16,EG-13900,29,Male,Jeans,Clothing,78,Fujian,M,Pink,Spring,3.7,Yes,Yes,Yes
2023/1/25,EG-13900,41,Male,Sunglasses,Accessories,56,Guizhou,L,Beige,Winter,3.2,Yes,Yes,Yes
2023/12/29,EG-13900,48,Male,Boots,Footwear,25,Beijing,M,Indigo,Winter,3.9,Yes,Yes,Yes
2023/7/27,EG-13900,43,Male,Coat,Outerwear,28,Jiangsu,M,Red,Summer,3.5,Yes,Yes,Yes
2023/11/19,DS-13030,34,Male,Shirt,Clothing,57,Shaanxi,L,Blue,Fall,2.8,Yes,Yes,Yes
2023/10/26,DS-13030,45,Male,Dress,Clothing,36,Anhui,L,Cyan,Fall,2.7,Yes,Yes,Yes
2023/10/16,DS-13030,65,Male,Shirt,Clothing,69,Zhejiang,S,Violet,Fall,3.1,Yes,Yes,Yes
2023/2/21,DS-13030,61,Male,Sunglasses,Accessories,48,Yunnan,M,Orange,Winter,3.6,Yes,Yes,Yes
2023/6/18,DS-13030,18,Male,Dress,Clothing,58,Jiangsu,L,Maroon,Summer,2.9,Yes,Yes,Yes
2023/5/9,DS-13030,47,Male,Sunglasses,Accessories,24,Chongqing,M,Teal,Spring,3.6,Yes,Yes,Yes
2023/3/4,GZ-14470,56,Male,Sunglasses,Accessories,31,Beijing,L,Orange,Spring,3.5,Yes,Yes,Yes
2023/12/19,PO-19195,64,Male,Shorts,Clothing,29,Zhejiang,S,Purple,Winter,3.5,Yes,Yes,Yes
2023/12/14,PO-19195,26,Male,Jeans,Clothing,69,Guangdong,M,Orange,Winter,2.8,Yes,Yes,Yes
2023/8/3,PO-19195,22,Male,T-shirt,Clothing,79,Yunnan,XL,Yellow,Summer,4.7,Yes,Yes,Yes
2023/8/15,SS-20875,64,Male,Pants,Clothing,39,Jiangsu,M,Charcoal,Summer,3.1,Yes,Yes,Yes
2023/6/30,SS-20875,21,Male,Sunglasses,Accessories,84,Yunnan,L,Gray,Summer,4.9,Yes,Yes,Yes
2023/1/7,SS-20875,67,Male,Boots,Footwear,66,Xinjiang,S,Charcoal,Winter,4.1,Yes,Yes,Yes
2023/7/21,SS-20875,46,Male,T-shirt,Clothing,92,Chongqing,L,Orange,Summer,4.7,Yes,Yes,Yes
2023/2/8,MH-17785,40,Male,Sandals,Footwear,45,Henan,M,Red,Winter,2.5,Yes,Yes,Yes
2023/6/18,MH-17785,51,Male,Shorts,Clothing,74,Hunan,L,Gold,Summer,4.4,Yes,Yes,Yes
2023/3/28,PB-19105,35,Male,Hat,Accessories,39,Sichuan,L,Brown,Spring,3.9,Yes,Yes,Yes
2023/8/24,RF-19735,56,Male,Scarf,Accessories,71,Jilin,M,Olive,Summer,3.7,Yes,Yes,Yes
2023/9/23,RF-19735,25,Male,T-shirt,Clothing,95,Shanghai,L,Violet,Fall,3.4,Yes,Yes,Yes
2023/8/9,RF-19735,65,Male,Gloves,Accessories,72,Guangdong,L,Indigo,Summer,4.8,Yes,Yes,Yes
2023/9/10,RF-19735,39,Male,Scarf,Accessories,85,Sichuan,L,Yellow,Fall,4.2,Yes,Yes,Yes
2023/6/10,YC-21895,47,Male,Boots,Footwear,54,Ningxia,M,Teal,Summer,3.4,Yes,Yes,Yes
2023/9/5,MS-17830,36,Male,Gloves,Accessories,41,Hebei,L,Pink,Fall,2.9,Yes,Yes,Yes
2023/5/3,NB-18655,66,Male,Coat,Outerwear,24,Qinghai,M,Violet,Spring,3.3,Yes,Yes,Yes
2023/9/2,DC-13285,62,Male,Belt,Accessories,99,Shanghai,S,Orange,Fall,4.8,Yes,Yes,Yes
2023/5/6,DC-13285,41,Male,Hoodie,Clothing,32,Shaanxi,M,Red,Spring,3.8,Yes,Yes,Yes
2023/1/12,CP-12340,66,Male,Shoes,Footwear,71,Anhui,L,Peach,Winter,4.6,Yes,Yes,Yes
2023/10/24,BF-11020,51,Male,Dress,Clothing,49,Beijing,XL,Green,Fall,2.6,Yes,Yes,Yes
2023/8/15,AR-10510,33,Male,Gloves,Accessories,50,Zhejiang,XL,Violet,Summer,3.4,Yes,Yes,Yes
2023/8/20,JC-16105,57,Male,Jewelry,Accessories,91,Anhui,L,Yellow,Summer,4.2,Yes,Yes,Yes
2023/3/17,LH-17020,45,Male,Belt,Accessories,46,Guangdong,M,Pink,Spring,3.9,Yes,Yes,Yes
2023/1/22,CS-12250,61,Male,Sweater,Clothing,50,Liaoning,M,Brown,Winter,2.9,Yes,Yes,Yes
2023/2/24,CS-12250,55,Male,Skirt,Clothing,39,Hunan,XL,Silver,Winter,4.2,Yes,Yes,Yes
2023/1/6,CS-12250,54,Male,Sneakers,Footwear,99,Shanghai,M,Pink,Winter,3,Yes,Yes,Yes
2023/5/8,CS-12250,57,Male,Gloves,Accessories,48,Hubei,M,Cyan,Spring,3.6,Yes,Yes,Yes
2023/12/17,CS-12250,27,Male,Coat,Outerwear,77,Tianjin,M,Brown,Winter,2.5,Yes,Yes,Yes
2023/11/13,AJ-10795,64,Male,Backpack,Accessories,95,InnerMongolia,XL,Red,Fall,2.6,Yes,Yes,Yes
2023/8/3,LE-16810,52,Male,Socks,Clothing,100,Anhui,M,Silver,Summer,4.3,Yes,Yes,Yes
2023/11/13,BV-11245,19,Male,Sneakers,Footwear,54,Guangxi,M,Gray,Fall,3.3,Yes,Yes,Yes
2023/8/31,BV-11245,22,Male,Sweater,Clothing,68,Fujian,L,Cyan,Summer,2.6,Yes,Yes,Yes
2023/3/18,BV-11245,18,Male,Jeans,Clothing,22,Shanghai,L,Teal,Spring,3.6,Yes,Yes,Yes
2023/10/15,BV-11245,29,Male,Hat,Accessories,84,Sichuan,L,Indigo,Fall,2.6,Yes,Yes,Yes
2023/11/19,BV-11245,42,Male,Hat,Accessories,46,Hunan,M,Yellow,Fall,3.5,Yes,Yes,Yes
2023/5/14,BV-11245,49,Male,Handbag,Accessories,53,Zhejiang,S,Gold,Spring,3,Yes,Yes,Yes
2023/11/6,DL-12865,49,Male,Shirt,Clothing,60,InnerMongolia,M,Maroon,Fall,5,Yes,Yes,Yes
2023/8/22,NZ-18565,55,Male,Socks,Clothing,32,Heilongjiang,XL,Silver,Summer,2.5,Yes,Yes,Yes
2023/10/1,NZ-18565,29,Male,Socks,Clothing,50,Shandong,M,Yellow,Fall,2.9,Yes,Yes,Yes
2023/6/24,NZ-18565,60,Male,Dress,Clothing,94,Shanxi,M,Blue,Summer,4.6,Yes,Yes,Yes
2023/2/14,NZ-18565,34,Male,Shoes,Footwear,26,Liaoning,M,Turquoise,Winter,3.6,Yes,Yes,Yes
2023/4/21,BM-11785,30,Male,Scarf,Accessories,44,Sichuan,L,Indigo,Spring,3,Yes,Yes,Yes
2023/5/25,BM-11785,28,Male,Hoodie,Clothing,57,Guangdong,M,Green,Spring,4.5,Yes,Yes,Yes
2023/8/19,BM-11785,63,Male,T-shirt,Clothing,65,Jiangxi,L,Purple,Summer,4.5,Yes,Yes,Yes
2023/7/5,BM-11785,31,Male,Jeans,Clothing,72,Shanghai,M,Peach,Summer,3.2,Yes,Yes,Yes
2023/11/29,EA-14035,46,Male,Shorts,Clothing,62,Henan,S,Purple,Fall,4,Yes,Yes,Yes
2023/5/22,CL-12565,70,Male,Hat,Accessories,21,Anhui,S,Teal,Spring,4.8,Yes,Yes,Yes
2023/2/22,LT-17110,53,Male,Handbag,Accessories,85,Anhui,S,Green,Winter,3.7,Yes,Yes,Yes
2023/8/6,SA-20830,50,Male,Pants,Clothing,51,Henan,XL,Yellow,Summer,3.8,Yes,Yes,Yes
2023/5/16,SA-20830,33,Male,Handbag,Accessories,84,Guangdong,S,Purple,Spring,2.7,Yes,Yes,Yes
2023/11/29,SA-20830,22,Male,Sweater,Clothing,37,Anhui,M,Indigo,Fall,4.9,Yes,Yes,Yes
2023/4/23,SA-20830,50,Male,Scarf,Accessories,44,Tianjin,S,Magenta,Spring,3.1,Yes,Yes,Yes
2023/5/13,JK-15730,34,Male,Sneakers,Footwear,45,Zhejiang,M,Violet,Spring,4.2,Yes,Yes,Yes
2023/7/29,ES-14020,24,Male,Pants,Clothing,35,Qinghai,L,Maroon,Summer,3.8,Yes,Yes,Yes
2023/8/29,ES-14020,69,Male,Backpack,Accessories,50,Henan,XL,Yellow,Summer,4.2,Yes,Yes,Yes
2023/11/25,RH-19495,39,Male,Sandals,Footwear,26,Shandong,M,Beige,Fall,4.6,Yes,Yes,Yes
2023/10/1,DB-13120,42,Male,Socks,Clothing,78,Guizhou,XL,Black,Fall,4,Yes,Yes,Yes
2023/4/22,DB-13120,42,Male,Coat,Outerwear,82,Shanghai,M,Violet,Spring,4,Yes,Yes,Yes
2023/4/15,DB-13120,29,Male,Socks,Clothing,39,Zhejiang,M,Violet,Spring,3.8,Yes,Yes,Yes
2023/2/28,CD-11920,55,Male,Belt,Accessories,55,Shandong,L,Brown,Winter,3.3,Yes,Yes,Yes
2023/10/13,HW-14935,32,Male,Socks,Clothing,20,Hunan,S,Gold,Fall,2.6,Yes,Yes,Yes
2023/3/3,HW-14935,25,Male,Belt,Accessories,29,Guangxi,L,Blue,Spring,4.9,Yes,Yes,Yes
2023/3/17,HW-14935,38,Male,Pants,Clothing,41,Shanxi,M,Teal,Spring,3.5,Yes,Yes,Yes
2023/3/25,MC-18130,32,Male,Shorts,Clothing,38,Hunan,L,Silver,Spring,2.8,Yes,Yes,Yes
2023/3/25,GM-14440,43,Male,Boots,Footwear,47,Tianjin,M,Maroon,Spring,2.6,Yes,Yes,Yes
2023/2/5,RA-19915,41,Male,Dress,Clothing,30,Qinghai,L,White,Winter,3.7,Yes,Yes,Yes
2023/6/7,RA-19915,56,Male,Jeans,Clothing,56,Guizhou,L,Charcoal,Summer,2.7,Yes,Yes,Yes
2023/11/18,AA-10375,27,Male,T-shirt,Clothing,89,Anhui,S,Brown,Fall,3.3,Yes,Yes,Yes
2023/7/11,AA-10375,46,Male,Shoes,Footwear,96,Liaoning,L,Lavender,Summer,4.6,Yes,Yes,Yes
2023/8/24,ZC-21910,48,Male,Boots,Footwear,81,Hubei,M,Violet,Summer,4.9,Yes,Yes,Yes
2023/8/16,ZC-21910,52,Male,Scarf,Accessories,83,Fujian,S,Lavender,Summer,4.9,Yes,Yes,Yes
2023/9/17,ZC-21910,18,Male,Sneakers,Footwear,35,Shanghai,M,Green,Fall,2.7,Yes,Yes,Yes
2023/4/4,ZC-21910,64,Male,Boots,Footwear,56,Guangxi,M,Olive,Spring,3.2,Yes,Yes,Yes
2023/12/31,PJ-19015,54,Male,Handbag,Accessories,45,Tianjin,S,Olive,Winter,2.9,Yes,Yes,Yes
2023/3/26,PJ-19015,31,Male,Shirt,Clothing,62,Beijing,M,Pink,Spring,3.8,Yes,Yes,Yes
2023/9/3,BW-11110,30,Male,Hat,Accessories,84,Hebei,L,Teal,Fall,3,Yes,Yes,Yes
2023/4/27,DB-13210,26,Male,Sweater,Clothing,24,Tianjin,L,Cyan,Spring,3.9,Yes,Yes,Yes
2023/6/10,CA-12775,25,Male,Handbag,Accessories,21,Hunan,S,Gray,Summer,4.7,Yes,Yes,Yes
2023/8/31,CA-12775,59,Male,Shirt,Clothing,91,Shandong,M,Peach,Summer,4.9,Yes,Yes,Yes
2023/12/10,CA-12775,55,Male,Sunglasses,Accessories,36,Henan,S,Teal,Winter,4.8,Yes,Yes,Yes
2023/4/28,CA-12775,56,Male,Sneakers,Footwear,39,Anhui,M,Turquoise,Spring,2.5,Yes,Yes,Yes
2023/12/19,CA-12775,62,Male,Hoodie,Clothing,39,Hebei,M,Green,Winter,3.9,Yes,Yes,Yes
2023/5/2,TR-21325,35,Male,Shirt,Clothing,59,Hubei,L,Magenta,Spring,3.4,Yes,Yes,Yes
2023/12/1,TR-21325,51,Male,Sunglasses,Accessories,27,Liaoning,M,Green,Winter,2.5,Yes,Yes,Yes
2023/2/4,PG-18820,61,Male,Blouse,Clothing,94,Hunan,M,White,Winter,3,Yes,Yes,Yes
2023/11/24,PG-18820,27,Male,Belt,Accessories,94,Fujian,XL,Brown,Fall,3.6,Yes,Yes,Yes
2023/7/15,GT-14710,54,Male,Dress,Clothing,94,Sichuan,M,Purple,Summer,3.6,Yes,Yes,Yes
2023/6/10,GT-14710,31,Male,Shoes,Footwear,51,Yunnan,S,Green,Summer,4.1,Yes,Yes,Yes
2023/5/24,GT-14710,24,Male,Socks,Clothing,62,Gansu,M,Peach,Spring,3.7,Yes,Yes,Yes
2023/7/1,JE-15745,42,Male,Socks,Clothing,57,Henan,S,Silver,Summer,3.1,Yes,Yes,Yes
2023/5/26,JE-15745,41,Male,Shorts,Clothing,76,Jiangsu,M,Maroon,Spring,4.2,Yes,Yes,Yes
2023/6/16,JE-15745,66,Male,Gloves,Accessories,63,Zhejiang,M,Red,Summer,4.3,Yes,Yes,Yes
2023/2/11,JE-15745,58,Male,Jacket,Outerwear,80,Anhui,L,Blue,Winter,2.5,Yes,Yes,Yes
2023/2/11,JB-15400,43,Male,Handbag,Accessories,68,Shanghai,M,Purple,Winter,3.5,Yes,Yes,Yes
2023/12/21,JB-15400,52,Male,Backpack,Accessories,89,Sichuan,M,Indigo,Winter,3.1,Yes,Yes,Yes
2023/2/27,JB-15400,35,Male,Boots,Footwear,26,Hunan,L,Indigo,Winter,2.5,Yes,Yes,Yes
2023/10/7,LH-17020,23,Male,Gloves,Accessories,90,Guangxi,L,Violet,Fall,3.9,Yes,Yes,Yes
2023/8/12,JL-15175,25,Male,Hoodie,Clothing,28,Shaanxi,L,Brown,Summer,4.9,Yes,Yes,Yes
2023/4/28,EB-13705,33,Male,Coat,Outerwear,29,Shandong,M,Gray,Spring,4.3,Yes,Yes,Yes
2023/5/2,BM-11650,48,Male,Shirt,Clothing,31,Henan,L,Teal,Spring,2.6,Yes,Yes,Yes
2023/9/22,BM-11650,42,Male,Shirt,Clothing,24,Liaoning,L,Teal,Fall,4.2,Yes,Yes,Yes
2023/8/7,BM-11650,55,Male,Sweater,Clothing,88,Zhejiang,M,Beige,Summer,2.6,Yes,Yes,Yes
2023/11/24,EM-14095,59,Male,Shirt,Clothing,87,Jiangsu,M,Violet,Fall,3.6,Yes,Yes,Yes
2023/4/28,EM-14095,65,Male,Hoodie,Clothing,80,Liaoning,S,Beige,Spring,3.2,Yes,Yes,Yes
2023/9/27,EM-14095,59,Male,Sandals,Footwear,48,Shanghai,L,Purple,Fall,4.4,Yes,Yes,Yes
2023/7/7,EM-14095,31,Male,Belt,Accessories,21,Guangdong,XL,Charcoal,Summer,3.7,Yes,Yes,Yes
2023/4/3,AF-10885,49,Male,Boots,Footwear,72,Jiangsu,M,Pink,Spring,3.7,Yes,Yes,Yes
2023/4/25,AF-10885,53,Male,Hoodie,Clothing,44,Hebei,L,Blue,Spring,4.1,Yes,Yes,Yes
2023/6/14,GA-14725,48,Male,Sandals,Footwear,73,Hunan,M,Lavender,Summer,3.6,Yes,Yes,Yes
2023/2/6,CK-12760,23,Male,Jeans,Clothing,61,Henan,S,Charcoal,Winter,4.3,Yes,Yes,Yes
2023/6/23,DP-13105,68,Male,Shoes,Footwear,20,Liaoning,L,Turquoise,Summer,2.6,Yes,Yes,Yes
2023/3/25,DP-13105,35,Male,Sandals,Footwear,86,Shandong,M,Red,Spring,2.9,Yes,Yes,Yes
2023/8/23,VD-21670,34,Male,Dress,Clothing,60,Qinghai,L,Yellow,Summer,4.2,Yes,Yes,Yes
2023/4/14,GT-14710,62,Male,Hat,Accessories,43,Henan,L,Orange,Spring,4,Yes,Yes,Yes
2023/8/24,GT-14710,21,Male,Pants,Clothing,44,Hubei,L,Blue,Summer,4.3,Yes,Yes,Yes
2023/5/15,BK-11260,70,Male,Socks,Clothing,76,Liaoning,L,Gold,Spring,3,Yes,Yes,Yes
2023/11/19,BK-11260,55,Male,Shirt,Clothing,33,Shandong,M,Gold,Fall,3.5,Yes,Yes,Yes
2023/3/26,BK-11260,43,Male,Shorts,Clothing,60,Jiangxi,L,Cyan,Spring,3,Yes,Yes,Yes
2023/2/27,SJ-20125,19,Male,Jacket,Outerwear,26,InnerMongolia,L,Olive,Winter,3.1,Yes,Yes,Yes
2023/2/6,SJ-20125,47,Male,Hoodie,Clothing,73,Gansu,M,Teal,Winter,4,Yes,Yes,Yes
2023/8/25,CM-12445,26,Male,Shoes,Footwear,87,Shandong,M,Maroon,Summer,4.1,Yes,Yes,Yes
2023/6/6,CM-12445,46,Male,Skirt,Clothing,100,Sichuan,XL,Green,Summer,3.3,Yes,Yes,Yes
2023/8/12,AJ-10795,19,Male,Coat,Outerwear,84,InnerMongolia,M,Charcoal,Summer,4.9,Yes,Yes,Yes
2023/5/14,AJ-10795,49,Male,Sneakers,Footwear,41,Sichuan,M,Cyan,Spring,3.9,Yes,Yes,Yes
2023/10/9,AJ-10795,51,Male,Jeans,Clothing,59,Zhejiang,S,Charcoal,Fall,3.9,Yes,Yes,Yes
2023/5/3,AJ-10780,64,Male,Blouse,Clothing,26,Shanxi,L,Charcoal,Spring,4.8,Yes,Yes,Yes
2023/12/19,AJ-10780,67,Male,Sunglasses,Accessories,69,Tianjin,M,Lavender,Winter,2.7,Yes,Yes,Yes
2023/7/5,LS-16945,37,Male,Jacket,Outerwear,20,Shanghai,M,Turquoise,Summer,3.1,Yes,Yes,Yes
2023/11/25,GP-14740,40,Male,Dress,Clothing,83,Guangdong,M,Green,Fall,3.2,Yes,Yes,Yes
2023/10/1,PK-18910,38,Male,Hat,Accessories,54,Guizhou,M,Silver,Fall,2.7,Yes,Yes,Yes
2023/11/4,PK-18910,66,Male,Hoodie,Clothing,66,Fujian,M,Blue,Fall,2.5,Yes,Yes,Yes
2023/1/7,TB-21520,47,Male,Handbag,Accessories,42,Guizhou,M,Charcoal,Winter,2.6,Yes,Yes,Yes
2023/8/19,SM-20005,56,Male,Jeans,Clothing,33,Jiangxi,M,Pink,Summer,2.9,Yes,Yes,Yes
2023/2/15,SM-20005,51,Male,Boots,Footwear,77,Henan,M,Pink,Winter,4.2,Yes,Yes,Yes
2023/1/28,GA-14725,25,Male,Jacket,Outerwear,65,Yunnan,M,Magenta,Winter,4.4,Yes,Yes,Yes
2023/5/8,CC-12430,37,Male,Sandals,Footwear,39,Guangxi,L,Gray,Spring,4.1,Yes,Yes,Yes
2023/2/16,CC-12430,41,Male,Belt,Accessories,51,Jiangxi,L,Gray,Winter,3.8,Yes,Yes,Yes
2023/11/3,CC-12430,64,Male,Handbag,Accessories,65,Jiangxi,M,Orange,Fall,4.9,Yes,Yes,Yes
2023/3/6,AG-10765,23,Male,Sunglasses,Accessories,89,Guangxi,S,Black,Spring,4.9,Yes,Yes,Yes
2023/3/12,HP-14815,62,Male,Skirt,Clothing,76,Jiangsu,S,Lavender,Spring,4.1,Yes,Yes,Yes
2023/11/26,HP-14815,39,Male,Backpack,Accessories,75,Guizhou,L,Red,Fall,3.1,Yes,Yes,Yes
2023/3/3,DK-13090,52,Male,Sandals,Footwear,61,Guangdong,M,Silver,Spring,2.7,Yes,Yes,Yes
2023/1/28,GZ-14470,50,Male,Boots,Footwear,35,Tianjin,M,Cyan,Winter,3.8,Yes,Yes,Yes
2023/5/15,PM-19135,28,Male,Sneakers,Footwear,37,Yunnan,S,Gold,Spring,4.3,Yes,Yes,Yes
2023/10/11,LL-16840,67,Male,Skirt,Clothing,91,Beijing,L,Yellow,Fall,4.1,Yes,Yes,Yes
2023/5/17,JS-15595,41,Male,Dress,Clothing,99,Hunan,L,Purple,Spring,4.4,Yes,Yes,Yes
2023/2/4,OT-18730,19,Male,Shorts,Clothing,54,Guangdong,S,Brown,Winter,3.6,Yes,Yes,Yes
2023/7/3,EL-13735,70,Male,Handbag,Accessories,47,Fujian,L,Turquoise,Summer,3.3,Yes,Yes,Yes
2023/2/10,CK-12760,49,Male,Scarf,Accessories,77,Zhejiang,S,Gold,Winter,3.6,Yes,Yes,Yes
